Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) / W notes,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,N_swim
6,Oncorhynchus gorbuscha,wild,1987,78,,,1.796,0.481,sd,,,49.1,3.9,sd,SL,M,15,FW,Ucrit-1,group,6_41,,,2.34,0.84,sd,,,,,,,,,,mature,4.87,88.6,n,n,,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",103
6,Oncorhynchus gorbuscha,wild,1987,17,,,1.798,0.35,sd,,,48.7,2.9,sd,SL,M,15,FW,Ucrit-1,group,6_42,,,3.39,0.96,sd,,,,,,,,,,mature,4.87,88.6,n,n,,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",17
6,Oncorhynchus gorbuscha,wild,1987,65,,,1.823,0.437,sd,,,49,3.5,sd,SL,M,15,FW,Ucrit-1,group,6_43,,,2.34,1.07,sd,,,,,,,,,,mature,4.87,88.6,n,n,,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",65
6,Oncorhynchus gorbuscha,wild,1987,na,,,,,,,,,,,,M,15,FW,Ucrit-1,group,6_44,,,2.13,0.62,sd,,,,,,,,,,spawned,4.87,88.6,n,n,,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",2
6,Oncorhynchus gorbuscha,wild,1987,101,,,1.595,0.298,sd,,,46.5,5.3,sd,SL,F,15,FW,Ucrit-1,group,6_45,,,2.15,0.98,sd,,,,,,,,,,mature,15.4,248,n,n,,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",116
6,Oncorhynchus gorbuscha,wild,1987,31,,,1.59,0.218,sd,,,46.6,2.2,sd,SL,F,15,FW,Ucrit-1,group,6_46,,,2.78,0.81,sd,,,,,,,,,,mature,15.4,248,n,n,,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",31
6,Oncorhynchus gorbuscha,wild,1987,97,,,1.498,0.27,sd,,,46.1,3.2,sd,SL,F,15,FW,Ucrit-1,group,6_47,,,2.31,0.94,sd,,,,,,,,,,mature,15.4,248,n,n,,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",97
6,Oncorhynchus gorbuscha,wild,1987,15,,,1.361,0.197,sd,,,47.2,2.2,sd,SL,F,15,FW,Ucrit-1,group,6_48,,,1.73,0.7,sd,,,,,,,,,,spawned,15.4,248,n,n,,n,n,table,"Williams, I.V., Brett, J.R., 1987. Critical Swimming Speed of Fraser and Thompson River Pink Salmon ( Oncorhynchus gorbuscha ). Canadian Journal of Fisheries and Aquatic Sciences 44, 348–356. https://doi.org/10.1139/f87-043",15
19,Oncorhynchus nerka,wild,1998,5,,,1.94,0.02,se,,,56,2,se,FL,mixed,19.5,FW,Ucrit-1,group,19_49,,,1.446894342,0.09018027,se,,,,,,,,,,,,,y,n,Cannulation,RR,n,plot,"Farrell, A.P., Gamperl, A.K., Birtwell, I.K., 1998. Prolonged swimming, recovery and repeat swimming performance of mature sockeye salmon Oncorhychus nerka exposed to moderate hypoxia and pentacholorophenol. Journal of Experimental Biology 201, 2183–2193.",5
19,Oncorhynchus nerka,wild,1998,5,,,1.94,0.02,se,,,56,2,se,FL,mixed,19.5,FW,Ucrit-2,group,19_49,,,1.390781172,0.08617326,se,,,,,,,,,,,,,y,n,Cannulation,RR,n,plot,"Farrell, A.P., Gamperl, A.K., Birtwell, I.K., 1998. Prolonged swimming, recovery and repeat swimming performance of mature sockeye salmon Oncorhychus nerka exposed to moderate hypoxia and pentacholorophenol. Journal of Experimental Biology 201, 2183–2193.",5
